年度,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
平成21年,2,ＡがＡ所有の土地の売却に関する代理権をＢに与えた場合における次の記述のう ち、民法の規定によれば、正しいものはどれか。,Ｂが自らを「売主Ａの代理人Ｂ」ではなく、「売主Ｂ」と表示して、買主Ｃとの間で売買 契約を締結した場合には、Ｂは売主Ａの代理人として契約しているとＣが知っていても、売 買契約はＢＣ間に成立する。,Ｂが自らを「売主Ａの代理人Ｂ」と表示して買主Ｄとの間で締結した売買契約について、 Ｂが未成年であったとしても、ＡはＢが未成年であることを理由に取り消すことはできない。,Ｂは、自らが選任及び監督するのであれば、Ａの意向にかかわらず、いつでもＥを復代理 人として選任して売買契約を締結させることができる。,Ｂは、Ａに損失が発生しないのであれば、Ａの意向にかかわらず、買主Ｆの代理人にもな って、売買契約を締結することができる。 ― 1 ― 〈宅地建物取引士資格試験〉,2
平成21年,3,Ａは、Ｂに対し建物を賃貸し、月額10万円の賃料債権を有している。この賃料 債権の消滅時効に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはど れか。,Ａが、Ｂに対する賃料債権につき支払督促の申立てをしたときは、消滅時効の完成は猶予 される。,Ｂが、Ａとの建物賃貸借契約締結時に、賃料債権につき消滅時効の利益はあらかじめ放棄 する旨約定したとしても、その約定に法的効力は認められない。,Ａが、Ｂに対する賃料債権につき内容証明郵便により支払を請求したときは、その請求に より消滅時効は更新される。,Ｂが、賃料債権の消滅時効が完成した後にその賃料債権を承認したときは、消滅時効の完 成を知らなかったときでも、その完成した消滅時効の援用をすることは許されない。,3
平成21年,4,相隣関係に関する次の記述のうち、民法の規定によれば、誤っているものはどれ か。,土地の所有者は、境界において障壁を修繕するために必要であれば、必要な範囲内で隣地 を使用することができる。,複数の筆の他の土地に囲まれて公道に通じない土地の所有者は、公道に至るため、その土 地を囲んでいる他の土地を自由に選んで通行することができる。,Ａの隣地の竹木の根が境界線を越えるときは、Ａはその根を切り取ることができる。,異なる慣習がある場合を除き、境界線から１ｍ未満の範囲の距離において他人の宅地を見 通すことができる窓を設ける者は、目隠しを付けなければならない。,2
平成21年,5,担保物権に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,抵当権者も先取特権者も、その目的物が火災により焼失して債務者が火災保険請求権を取 得した場合には、その火災保険金請求権に物上代位することができる。,先取特権も質権も、債権者と債務者との間の契約により成立する。,留置権は動産についても不動産についても成立するのに対し、先取特権は動産については 成立するが不動産については成立しない。,留置権者は、善良な管理者の注意をもって、留置物を占有する必要があるのに対し、質権 者は、自己の財産に対するのと同一の注意をもって、質物を占有する必要がある。 ― 2 ― 〈平成21年度〉,1
平成21年,6,民法第379条は、「抵当不動産の第三取得者は、第383条の定めるところにより、 抵当権消滅請求をすることができる。」と定めている。これに関する次の記述のうち、民法の 規定によれば、正しいものはどれか。,抵当権の被担保債権につき保証人となっている者は、抵当不動産を買い受けて第三取得者 になれば、抵当権消滅請求をすることができる。,抵当不動産の第三取得者は、当該抵当権の実行としての競売による差押えの効力が発生し た後でも、売却の許可の決定が確定するまでは、抵当権消滅請求をすることができる。,抵当不動産の第三取得者が抵当権消滅請求をするときは、登記をした各債権者に民法第38 3条所定の書面を送付すれば足り、その送付書面につき事前に裁判所の許可を受ける必要はな い。,抵当不動産の第三取得者から抵当権消滅請求にかかる民法第383条所定の書面の送付を受 けた抵当権者が、同書面の送付を受けた後２か月以内に、承諾できない旨を確定日付のある 書面にて第三取得者に通知すれば、同請求に基づく抵当権消滅の効果は生じない。,3
平成21年,7,法定地上権に関する次の１から４までの記述のうち、民法の規定、判例及び判決 文によれば、誤っているものはどれか。 （判決文） 土地について１番抵当権が設定された当時、土地と地上建物の所有者が異なり、法定地上権成 立の要件が充足されていなかった場合には、土地と地上建物を同一人が所有するに至った後に 後順位抵当権が設定されたとしても、その後に抵当権が実行され、土地が競落されたことによ り１番抵当権が消滅するときには、地上建物のための法定地上権は成立しないものと解するの が相当である。,土地及びその地上建物の所有者が同一である状態で、土地に１番抵当権が設定され、その 実行により土地と地上建物の所有者が異なるに至ったときは、地上建物について法定地上権 が成立する。,更地である土地の抵当権者が抵当権設定後に地上建物が建築されることを承認した場合で あっても、土地の抵当権設定時に土地と所有者を同じくする地上建物が存在していない以上、 地上建物について法定地上権は成立しない。,土地に１番抵当権が設定された当時、土地と地上建物の所有者が異なっていたとしても、 ２番抵当権設定時に土地と地上建物の所有者が同一人となれば、土地の抵当権の実行により 土地と地上建物の所有者が異なるに至ったときは、地上建物について法定地上権が成立する。,土地の所有者が、当該土地の借地人から抵当権が設定されていない地上建物を購入した後、 建物の所有権移転登記をする前に土地に抵当権を設定した場合、当該抵当権の実行により土 地と地上建物の所有者が異なるに至ったときは、地上建物について法定地上権が成立する。 ― 3 ― 〈宅地建物取引士資格試験〉,3
平成21年,8,売主Ａは、買主Ｂとの間で甲土地の売買契約を締結し、代金の３分の２の支払と 引換えに所有権移転登記手続と引渡しを行った。その後、Ｂが残代金を支払わないので、Ａは 適法に甲土地の売買契約を解除した。この場合に関する次の記述のうち、民法の規定及び判例 によれば、正しいものはどれか。,Ａの解除前に、ＢがＣに甲土地を売却し、ＢからＣに対する所有権移転登記がなされてい るときは、ＢのＡに対する代金債務につき不履行があることをＣが知っていた場合において も、Ａは解除に基づく甲土地の所有権をＣに対して主張できない。,Ｂは、甲土地を現状有姿の状態でＡに返還し、かつ、移転登記を抹消すれば、引渡しを受 けていた間に甲土地を貸駐車場として収益を上げていたときでも、Ａに対してその利益を償 還すべき義務はない。,Ｂは、自らの債務不履行で解除されたので、Ｂの原状回復義務を先に履行しなければなら ず、Ａの受領済み代金返還義務との同時履行の抗弁権を主張することはできない。,Ａは、Ｂが契約解除後遅滞なく原状回復義務を履行すれば、契約締結後原状回復義務履行 時までの間に甲土地の価格が下落して損害を被った場合でも、Ｂに対して損害賠償を請求す ることはできない。,1
平成21年,9,Ａは、生活の面倒をみてくれている甥（おい）のＢに、自分が居住している甲建 物を贈与しようと考えている。この場合に関する次の記述のうち、民法の規定によれば、正し いものはどれか。,ＡからＢに対する無償かつ負担なしの甲建物の贈与契約が、書面によってなされた場合、 Ａはその履行前であれば贈与契約を解除することができる。,ＡからＢに対する無償かつ負担なしの甲建物の贈与契約が、書面によらないでなされた場 合、Ａが履行するのは自由であるが、その贈与契約は法的な効力を生じない。,Ａが、Ｂに対し、Ａの生活の面倒をみることという負担を課して、甲建物を書面によって 贈与した場合、甲建物の契約不適合については、Ａはその負担の限度において、売主と同じ く担保責任を負う。,Ａが、Ｂに対し、Ａの生活の面倒をみることという負担を課して、甲建物を書面によって 贈与した場合、Ｂがその負担をその本旨に従って履行しないときでも、Ａはその贈与契約を 解除することはできない。 ― 4 ― 〈平成21年度〉,3
平成21年,10,Ａを売主、Ｂを買主として甲土地の売買契約を締結した場合における次の記述 のうち、民法の規定及び判例によれば、正しいものはどれか。,Ａ所有の甲土地にＡが気付かなかった契約上の不適合があり、その不適合については、Ｂ も不適合であることに気付いておらず、かつ、気付かなかったことにつき過失がないような 場合には、Ａは担保責任を負う必要はない。,ＢがＡに解約手付を交付している場合、Ａが契約の履行に着手していない場合であっても、 Ｂが自ら履行に着手していれば、Ｂは手付を放棄して売買契約を解除することができない。,甲土地がＡの所有地ではなく、他人の所有地であった場合には、ＡＢ間の売買契約は無効 である。,Ａ所有の甲土地に契約の内容に適合しない抵当権の登記があり、Ｂが当該土地の抵当権消 滅請求をした場合には、Ｂは当該請求の手続が終わるまで、Ａに対して売買代金の支払を拒 むことができる。,4
平成21年,11,現行の借地借家法の施行後に設定された借地権に関する次の記述のうち、借地 借家法の規定によれば、正しいものはどれか。,借地権の当初の存続期間中に借地上の建物の滅失があった場合で、借地権者が借地権設定 者の承諾を得ないで残存期間を超えて存続すべき建物を築造したときは、借地権設定者は地 上権の消滅の請求又は土地の賃貸借契約の解約の申入れをすることができる。,借地権の当初の存続期間が満了する場合において、借地権者が借地契約の更新を請求した ときに、建物があるときは、借地権設定者が遅滞なく異議を述べたときでも、その異議の理 由にかかわりなく、従前の借地契約と同一の条件で借地契約を更新したものとみなされる。,借地権の当初の存続期間中に借地上の建物の滅失があった場合、借地権者は地上権の放棄 又は土地の賃貸借の解約の申入れをすることができる。,借地権の当初の存続期間が満了し借地契約を更新する場合において、当事者間でその期間 を更新の日から10年と定めたときは、その定めは効力を生じず、更新後の存続期間は更新の 日から20年となる。 ― 5 ― 〈宅地建物取引士資格試験〉,4
平成21年,12,Ａ所有の甲建物につき、Ｂが一時使用目的ではなく賃料月額10万円で賃貸借契 約を締結する場合と、Ｃが適当な家屋に移るまでの一時的な居住を目的として無償で使用貸借 契約を締結する場合に関する次の記述のうち、民法及び借地借家法の規定並びに判例によれば、 誤っているものはどれか。,ＢがＡに無断で甲建物を転貸しても、Ａに対する背信的行為と認めるに足らない特段の事 情があるときは、Ａは賃貸借契約を解除できないのに対し、ＣがＡに無断で甲建物を転貸し た場合には、Ａは使用貸借を解除できる。,期間の定めがない場合、ＡはＢに対して正当な事由があるときに限り、解約を申し入れる ことができるのに対し、返還時期の定めがない場合、ＡはＣに対していつでも返還を請求で きる。,Ａが甲建物をＤに売却した場合、甲建物の引渡しを受けて甲建物で居住しているＢはＤに 対して賃借権を主張できるのに対し、Ｃは甲建物の引き渡しを受けて甲建物に居住していて もＤに対して使用借権を主張することができない。,Ｂが死亡しても賃貸借契約は終了せず賃借権はＢの相続人に相続されるのに対し、Ｃが死 亡すると使用貸借契約は終了するので使用借権はＣの相続人に相続されない。,2
平成21年,13,建物の区分所有等に関する法律（以下この問において「法」という。）につい ての次の記述のうち、誤っているものはどれか。,管理者は、少なくとも毎年１回集会を招集しなければならない。また、招集通知は、会日 より少なくとも１週間前に、会議の目的たる事項を示し、各区分所有者に発しなければなら ない。ただし、この期間は、規約で伸縮することができる。,法又は規約により集会において決議をすべき場合において、これに代わり書面による決議 を行うことについて区分所有者が１人でも反対するときは、書面による決議をすることがで きない。,建替え決議を目的とする集会を招集するときは、会日より少なくとも２か月前に、招集通 知を発しなければならない。ただし、この期間は規約で伸長することができる。,他の区分所有者から区分所有権を譲り受け、建物の専有部分の全部を所有することとなっ た者は、公正証書による規約の設定を行うことができる。 ― 6 ― 〈平成21年度〉,4
平成21年,14,不動産の表示の登記についての次の記述のうち、誤っているものはどれか。,土地の地目について変更があったときは、表題部所有者又は所有権の登記名義人は、その 変更があった日から１月以内に、当該地目に関する変更の登記を申請しなければならない。,表題部所有者について住所の変更があったときは、当該表題部所有者は、その変更があっ たときから１月以内に、当該住所についての変更の登記の申請をしなければならない。,表題登記がない建物（区分建物を除く。）の所有権を取得した者は、その所有権の取得の 日から１月以内に、表題登記を申請しなければならない。,建物が滅失したときは、表題部所有者又は所有権の登記名義人は、その滅失の日から１月 以内に、当該建物の滅失の登記を申請しなければならない。,2
平成21年,15,国土利用計画法第23条の都道府県知事への届出（以下この問において「事後届 出」という。）に関する次の記述のうち、正しいものはどれか。,"宅地建物取引業者Ａが都市計画区域外の10,000平方メートルの土地を時効取得した場合、 Ａは、その日から起算して２週間以内に事後届出を行わなければならない。",宅地建物取引業者Ｂが行った事後届出に係る土地の利用目的について、都道府県知事が適 正かつ合理的な土地利用を図るために必要な助言をした場合、Ｂがその助言に従わないとき は、当該知事は、その旨及び助言の内容を公表しなければならない。,"宅地建物取引業者Ｃが所有する市街化調整区域内の6,000平方メートルの土地について、 宅地建物取引業者Ｄが購入する旨の予約をした場合、Ｄは当該予約をした日から起算して２ 週間以内に事後届出を行わなければならない。","宅地建物取引業者Ｅが所有する都市計画区域外の13,000平方メートルの土地について、4, 000平方メートルを宅地建物取引業者Ｆに、9,000平方メートルを宅地建物取引業者Ｇに売却 する契約を締結した場合、Ｆ及びＧはそれぞれ、その契約を締結した日から起算して２週間 以内に事後届出を行わなければならない。 ― 7 ― 〈宅地建物取引士資格試験〉",3
平成21年,16,都市計画法に関する次の記述のうち、正しいものはどれか。なお、この問にお ける都道府県知事とは、地方自治法に基づく指定都市、中核市、特例市にあってはその長をい うものとする。,市街地開発事業の施行地区内においては、非常災害のために必要な応急措置として行う建 築物の建築であっても、都道府県知事の許可を受けなければならない。,風致地区内における建築物の建築については、政令で定める基準に従い、地方公共団体の 条例で、都市の風致を維持するため必要な規制をすることができる。,工作物の建設を行おうとする場合は、地区整備計画が定められている地区計画の区域であ っても、行為の種類、場所等の届出が必要となることはない。,都市計画事業においては、土地収用法における事業の認定の告示をもって、都市計画事業 の認可又は承認の告示とみなしている。,2
平成21年,17,都市計画法に関する次の記述のうち、誤っているものはどれか。なお、この問 における都道府県知事とは、地方自治法に基づく指定都市、中核市、特例市にあってはその長 をいうものとする。,"区域区分の定められていない都市計画区域内の土地において、10,000平方メートルのゴル フコースの建設を目的とする土地の区画形質の変更を行おうとする者は、あらかじめ、都道 府県知事の許可を受けなければならない。",市街化区域内の土地において、700平方メートルの開発行為を行おうとする場合に、都道 府県知事の許可が必要となる場合がある。,開発許可を受けた開発行為又は開発行為に関する工事により、公共施設が設置されたとき は、その公共施設は、協議により他の法律に基づく管理者が管理することとした場合を除き、 開発許可を受けた者が管理することとされている。,用途地域等の定めがない土地のうち開発許可を受けた開発区域内においては、開発行為に 関する工事完了の公告があった場合は、都道府県知事の許可を受ければ、当該開発許可に係 る予定建築物以外の建築物を新築することができる。 ― 8 ― 〈平成21年度〉,3
平成21年,18,建築基準法に関する次のアからエまでの記述のうち、正しいものはいくつある か。 ア 準都市計画区域（都道府県知事が都道府県都市計画審議会の意見を聴いて指定する区域を 除く。）内に建築する木造の建築物で、２の階数を有するものは、建築確認を要しない。 イ 防火地域内において建築物を増築する場合で、その増築に係る部分の床面積の合計が100 平方メートル以内であるときは、建築確認は不要である。 ウ 都道府県知事は、建築主から構造計算適合性判定を求められた場合においては、原則とし て、当該構造計算適合性判定を求められた日から１月以内にその結果を記載した通知書を建 築主に交付しなければならない。 エ 指定確認検査機関は、確認済証の交付をしたときは、一定の期間内に、確認審査報告書を 作成し、当該確認済証の交付に係る建築物の計画に関する一定の書類を添えて、これを特定 行政庁に提出しなければならない。,一つ,二つ,三つ,四つ,1
平成21年,19,建築基準法（以下この問において「法」という。）に関する次の記述のうち、 誤っているものはどれか。,高度地区内においては、建築物の高さは、高度地区に関する地方公共団体の条例において 定められた内容に適合するものでなければならない。,認可の公告のあった建築協定は、その公告のあった日以後に協定の目的となっている土地 の所有権を取得した者に対しても、効力がある。,商業地域内にある建築物については、法第56条の２第１項の規定による日影規制は、適用 されない。ただし、冬至日において日影規制の対象区域内の土地に日影を生じさせる、高さ1 0ｍを超える建築物については、この限りではない。,特別用途地区内においては、地方公共団体は、その地区の指定の目的のために必要と認め る場合においては、国土交通大臣の承認を得て、条例で、法第48条の規定による建築物の用 途制限を緩和することができる。 ― 9 ― 〈宅地建物取引士資格試験〉,1
平成21年,20,宅地造成及び特定盛土等規制法に関する次の記述のうち、誤っているものはど れか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市、特例 市にあってはその長をいう。,都道府県知事は、宅地造成等工事規制区域内の土地で宅地造成等に伴う災害の防止のため 必要な擁壁が設置されておらず、これを放置するときは宅地造成等に伴う災害の発生のおそ れが大きいと認められるものがある場合、一定の限度のもとに、当該土地の所有者、管理者 又は占有者に対して、擁壁の設置を行うことを命ずることができる。,宅地造成等工事規制区域内において、切土であって、当該切土をする土地の面積が400平 方メートルで、かつ、高さ１ｍの崖（がけ）を生ずることとなるものに関する工事を行う場 合には、都市計画法第29条第１項又は第２項の許可を受けて行われる当該許可の内容に適合 した工事又は宅地造成等に伴う災害の発生のおそれがないと認められるものとして政令で定 める工事を除き、都道府県知事の許可を受けなければならない。,都道府県は、基礎調査のために行う測量又は調査のため他人の占有する土地に立ち入った ことにより他人に損失を与えたときは、その損失を受けた者に対して、通常生ずべき損失を 補償しなければならない。,宅地造成等工事規制区域内において行われる宅地造成等に関する工事について許可をする 都道府県知事は、当該許可に、工事の施行に伴う災害を防止するために必要な条件を付する ことができる。,2
平成21年,21,土地区画整理法に関する次の記述のうち、誤っているものはどれか。,土地区画整理事業の施行者は、換地処分を行う前において、換地計画に基づき換地処分を 行うため必要がある場合においては、施行地区内の宅地について仮換地を指定することがで きる。,仮換地が指定された場合においては、従前の宅地について権原に基づき使用し、又は収益 することができる者は、仮換地の指定の効力発生の日から換地処分の公告がある日まで、仮 換地について、従前の宅地について有する権利の内容である使用又は収益と同じ使用又は収 益をすることができる。,土地区画整理事業の施行者は、施行地区内の宅地について換地処分を行うため、換地計画 を定めなければならない。この場合において、当該施行者が土地区画整理組合であるときは、 その換地計画について都道府県知事及び市町村長の認可を受けなければならない。,換地処分の公告があった場合においては、換地計画において定められた換地は、その公告 があった日の翌日から従前の宅地とみなされ、換地計画において換地を定めなかった従前の 宅地について存する権利は、その公告があった日が終了した時において消滅する。 ― 10 ― 〈平成21年度〉,3
平成21年,22,農地法（以下この問において「法」という。）に関する次の記述のうち、正し いものはどれか。,土地区画整理法に基づく土地区画整理事業により道路を建設するために、農地を転用しよ うとする者は、法第４条第１項の許可を受けなければならない。,農業者が住宅の改築に必要な資金を銀行から借りるため、自己所有の農地に抵当権を設定 する場合には、法第３条第１項の許可を受けなければならない。,市街化区域内において２ｈａ（ヘクタール）の農地を住宅建設のために取得する者は、法 第５条第１項の都道府県知事の許可を受けなければならない。,都道府県知事は、法第５条第１項の許可を要する農地取得について、その許可を受けずに 農地の転用を行った者に対して、必要な限度において原状回復を命ずることができる。,4
平成21年,23,住宅用家屋の所有権の移転登記に係る登録免許税の税率の軽減措置（以下この 問において「軽減措置」という。）に関する次の記述のうち、正しいものはどれか。,軽減措置の適用対象となる住宅用家屋は、床面積が100平方メートル以上で、その住宅用 家屋を取得した個人の居住の用に供されるものに限られる。,軽減措置は、贈与により取得した住宅用家屋に係る所有権の移転登記には適用されない。,軽減措置に係る登録免許税の課税標準となる不動産の価額は、売買契約書に記載された住 宅用家屋の実際の取引価格である。,軽減措置の適用を受けるためには、その住宅用家屋の取得後６か月以内に所有権の移転登 記をしなければならない。,2
平成21年,24,印紙税に係る次の記述のうち、正しいものはどれか。,"「令和７年10月１日付建設工事請負契約書の契約金額3,000万円を5,000万円に増額する 」旨を記載した変更契約書は、記載金額2,000万円の建設工事の請負に関する契約書として印 紙税が課される。","「時価3,000万円の土地を無償で譲渡する」旨を記載した贈与契約書は、記載金額3,000万 円の不動産の譲渡に関する契約書として印紙税が課される。","土地の売却の代理を行ったＡ社が「Ａ社は、売主Ｂの代理人として、土地代金5,000万円 を受領した」旨を記載した領収書を作成した場合、当該領収書は、売主Ｂを納税義務者とし て印紙税が課される。",印紙をはり付けることにより印紙税を納付すべき契約書について、印紙税を納付せず、そ の事実が税務調査により判明した場合には、納付しなかった印紙税額と同額に相当する過滞 税が徴収される。 ― 11 ― 〈宅地建物取引士資格試験〉,1
平成21年,25,地価公示法に係る次の記述のうち、正しいものはどれか。,公示区域内の土地を対象とする鑑定評価については、公示価格を規準とする必要があり、 その際には、当該対象土地に最も近接する標準地との間に均衡をもたせる必要がある。,標準地の鑑定評価は、近傍類地の取引価格から算定される推定の価格、近傍類地の地代等 から算定される推定の価格及び同等の効用を有する土地の造成に要する推定の費用の額を勘 案して行われる。,地価公示において判定を行う標準地の正常な価格とは、土地について、自由な取引が行わ れるとした場合において通常成立すると認められる価格をいい、当該土地に、当該土地の使 用収益を制限する権利が存する場合には、これらの権利が存するものとして通常成立すると 認められる価格をいう。,地価公示の標準地は、自然的及び社会的条件からみて類似の利用価値を有すると認められ る地域において、土地の利用状況、環境等が最も優れていると認められる一団の土地につい て選定するものとする。,2
平成21年,26,次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,本店及び支店１か所を有する法人Ａが、甲県内の本店では建設業のみを営み、乙県内の支 店では宅地建物取引業のみを営む場合、Ａは乙県知事の免許を受けなければならない。,免許の更新を受けようとする宅地建物取引業者Ｂは、免許の有効期間満了の日の２週間前 までに、免許申請書を提出しなければならない。,宅地建物取引業者Ｃが、免許の更新の申請をしたにもかかわらず、従前の免許の有効期間 の満了の日までに、その申請について処分がなされないときは、従前の免許は、有効期間の 満了後もその処分がなされるまでの間は、なおその効力を有する。,宅地建物取引業者Ｄ（丙県知事免許）は、丁県内で一団の建物の分譲を行う案内所を設置 し、当該案内所において建物の売買契約を締結する場合、国土交通大臣への免許換えの申請 をしなければならない。 ― 12 ― 〈平成21年度〉,3
平成21年,27,宅地建物取引業の免許（以下この問において「免許」という。）に関する次の 記述のうち、正しいものはいくつあるか。 ア 破産者であった個人Ａは、復権を得てから５年を経過しなければ、免許を受けることがで きない。 イ 宅地建物取引業法の規定に違反したことにより罰金の刑に処せられた取締役がいる法人Ｂ は、その刑の執行が終わった日から５年を経過しなければ、免許を受けることができない。 ウ 宅地建物取引業者Ｃは、業務停止処分の聴聞の期日及び場所が公示された日から当該処分 をする日又は当該処分をしないことを決定する日までの間に、相当の理由なく廃業の届出を 行った。この場合、Ｃは、当該届出の日から５年を経過しなければ、免許を受けることがで きない。 エ 宅地建物取引業に係る営業に関し成年者と同一の行為能力を有する未成年者Ｄは、その法 定代理人が禁錮以上の刑に処せられ、その刑の執行が終わった日から５年を経過しなければ、 免許を受けることができない。,一つ,二つ,三つ,四つ,1
平成21年,28,次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の 規定によれば、正しいものはどれか。,法人である宅地建物取引業者Ａ（甲県知事免許）は、役員の住所について変更があった場 合、その日から30日以内に、その旨を甲県知事に届け出なければならない。,法人である宅地建物取引業者Ｂ（乙県知事免許）が合併により消滅した場合、Ｂを代表す る役員であった者は、その日から30日以内に、その旨を乙県知事に届け出なければならない。,宅地建物取引業者Ｃ（国土交通大臣免許）は、法第50条第２項の規定により法第31条の ３第１項で定める場所について免許を受けた国土交通大臣に届出をする場合、当該場所の所 在地を管轄する都道府県知事を経由して届出書を提出しなければならない。,宅地建物取引業者Ｄ（丙県知事免許）は、建設業の許可を受けて新たに建設業を営むこと となった場合、Ｄは当該許可を受けた日から30日以内に、その旨を丙県知事に届け出なけれ ばならない。 ― 13 ― 〈宅地建物取引士資格試験〉,2
平成21年,29,次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,都道府県知事は、不正の手段によって宅地建物取引士資格試験を受けようとした者に対し ては、その試験を受けることを禁止することができ、また、その禁止処分を受けた者に対し ２年を上限とする期間を定めて受験を禁止することができる。,宅地建物取引士の登録を受けている者が本籍を変更した場合、遅滞なく、登録をしている 都道府県知事に変更の登録を申請しなければならない。,宅地建物取引士の登録を受けている者が死亡した場合、その相続人は、死亡した日から30 日以内に登録をしている都道府県知事に届出をしなければならない。,甲県知事の宅地建物取引士の登録を受けている者が、その住所を乙県に変更した場合、甲 県知事を経由して乙県知事に対し登録の移転を申請することができる。,2
平成21年,30,宅地建物取引業者Ａ（国土交通大臣免許）が、宅地建物取引業法の規定に基づ き供託する営業保証金に関する次の記述のうち、正しいものはどれか。,Ａは、営業保証金を主たる事務所又はその他の事務所のいずれかの最寄りの供託所に供託 することができる。,Ａが営業保証金を供託した旨は、供託所から国土交通大臣あてに通知されることから、Ａ がその旨を直接国土交通大臣に届け出る必要はない。,Ａとの取引により生じた電気工事業者の工事代金債権について、当該電気工事業者は、営 業継続中のＡが供託している営業保証金から、その弁済を受ける権利を有する。,営業保証金の還付により、営業保証金の額が政令で定める額に不足することとなった場合、 Ａは、国土交通大臣から不足額を供託すべき旨の通知書の送付を受けた日から２週間以内に その不足額を供託しなければならない。 ― 14 ― 〈平成21年度〉,4
平成21年,31,宅地建物取引業者Ａが自ら売主として、Ｂ所有の宅地（以下この問において「 甲宅地」という。）を、宅地建物取引業者でない買主Ｃに売却する場合における次の記述のう ち、宅地建物取引業法の規定によれば、誤っているものの組合せはどれか。 ア Ａは、甲宅地の造成工事の完了後であれば、Ｂから甲宅地を取得する契約の有無にかかわ らず、Ｃとの間で売買契約を締結することができる。 イ Ａは、Ｂから甲宅地を取得する契約が締結されているときであっても、その取得する契約 に係る代金の一部を支払う前であれば、Ｃとの間で売買契約を締結することができない。 ウ Ａは、甲宅地の売買が宅地建物取引業法第41条第１項に規定する手付金等の保全措置が必 要な売買に該当するとき、Ｃから受け取る手付金について当該保全措置を講じておけば、Ｃ との間で売買契約を締結することができる。,ア、イ,ア、ウ,イ、ウ,ア、イ、ウ,1
平成21年,32,宅地建物取引業者Ａが、Ｂ所有の甲宅地の売却の媒介を依頼され、Ｂと専任媒 介契約を締結した場合に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいも のはどれか。なお、書面の引渡しには、依頼者の承諾を得て行う電磁的方法による提供を含む ものとする。,Ａは、甲宅地の所在、規模、形質、売買すべき価額のほかに、甲宅地の上に存する登記さ れた権利の種類及び内容を指定流通機構に登録しなければならない。,ＡがＢに対して、甲宅地に関する所定の事項を指定流通機構に登録したことを証する書面 を引き渡さなかったときは、Ａはそのことを理由として指示処分を受けることがある。,ＡがＢに対して、当該専任媒介契約に係る業務の処理状況を14日（ただし、Ａの休業日は 含まない。）に１回報告するという特約は有効である。,Ａは、指定流通機構に登録した甲宅地について売買契約が成立し、かつ、甲宅地の引渡し が完了したときは、遅滞なく、その旨を当該指定流通機構に通知しなければならない。 ― 15 ― 〈宅地建物取引士資格試験〉,2
平成21年,33,宅地建物取引業者Ａが行う宅地建物取引業法第35条に規定する重要事項の説明 に関する次の記述のうち、誤っているものはどれか。,建物の売買の媒介を行う場合、当該建物が地域における歴史的風致の維持及び向上に関す る法律第12条第１項の規定に基づく歴史的風致形成建造物であるときは、Ａは、その増築に 際し市町村長への届出が必要である旨を説明しなければならない。,建物の売買を行う場合、当該建物について石綿の使用の有無の調査の結果が記録されてい ないときは、Ａは、自ら石綿の使用の有無の調査を行った上で、その結果の内容を説明しな ければならない。,建物の貸借の媒介を行う場合、当該貸借の契約が借地借家法第38条第１項の規定に基づく 定期建物賃貸借契約であるときは、Ａは、その旨を説明しなければならない。,建物の貸借の媒介を行う場合、Ａは、当該貸借に係る契約の終了時において精算すること とされている敷金の精算に関する事項について、説明しなければならない。,2
平成21年,34,次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の 規定によれば、正しいものはどれか。,宅地建物取引業者が自ら売主となる場合において、宅地建物取引業者でない買主が、法第 37条の２の規定に基づくいわゆるクーリング・オフによる契約の解除をするときは、その旨 を記載した書面が当該宅地建物取引業者に到達した時点で、解除の効力が発生する。,宅地建物取引業者が宅地の売却の媒介依頼を受け、依頼者との間で一般媒介契約（専任媒 介契約でない媒介契約）を締結した場合において、当該媒介契約の内容を記載した書面を作 成するときは、契約の有効期間に関する事項の記載を省略することができる。,宅地建物取引業者が宅地建物取引業保証協会の社員であるときは、法第37条の規定による 書面交付後は遅滞なく、社員である旨、当該協会の名称、住所及び事務所の所在地並びに法 第64条の７第２項の供託所及びその所在地について説明をするようにしなければならない。,法第35条の規定による重要事項の説明及び書面の交付は、宅地建物取引士が設置されてい る事務所だけでなく、取引の相手方の自宅又は勤務する場所等、それ以外の場所で行うこと ができる。 ― 16 ― 〈平成21年度〉,4
